epoch,train_loss,val_mIoU_seg,val_mIoU_obb,best_iou_seg,epoch_time_s
1,0.237522,0.071268,0.003649,0.071268,101.18
2,0.163007,0.052422,0.002144,0.071268,61.57
3,0.123452,0.069752,0.005142,0.071268,51.93
4,0.098358,0.188455,0.158424,0.188455,56.40
5,0.079573,0.273583,0.320534,0.273583,54.58
6,0.063846,0.259688,0.430493,0.273583,54.03
7,0.048723,0.529776,0.591458,0.529776,45.95
8,0.035440,0.508924,0.513248,0.529776,38.71
9,0.027908,0.423698,0.438576,0.529776,45.86
10,0.025827,0.402551,0.405574,0.529776,44.29
11,0.023922,0.665426,0.630350,0.665426,38.94
12,0.023012,0.351329,0.327848,0.665426,44.40
13,0.021681,0.691861,0.658092,0.691861,39.25
14,0.022390,0.495329,0.495699,0.691861,42.75
15,0.021352,0.707332,0.669320,0.707332,38.67
16,0.021582,0.681517,0.623547,0.707332,39.42
17,0.019501,0.738995,0.716952,0.738995,37.10
18,0.019890,0.568990,0.541474,0.738995,41.58
19,0.019352,0.726788,0.687177,0.738995,39.28
20,0.018383,0.500281,0.520064,0.738995,42.85
21,0.018606,0.759524,0.716289,0.759524,37.13
22,0.017781,0.718561,0.666047,0.759524,38.75
23,0.018367,0.709564,0.720756,0.759524,37.52
24,0.018019,0.750675,0.699917,0.759524,39.08
25,0.017227,0.720819,0.658375,0.759524,38.83
26,0.016881,0.744887,0.689087,0.759524,38.06
27,0.017399,0.731120,0.737008,0.759524,37.38
28,0.017687,0.761755,0.730388,0.761755,37.37
29,0.017038,0.671515,0.611226,0.761755,40.80
30,0.016597,0.350749,0.367411,0.761755,46.03
31,0.017082,0.779516,0.721568,0.779516,37.49
32,0.015860,0.741908,0.675957,0.779516,38.80
33,0.016438,0.771522,0.724139,0.779516,37.06
34,0.017061,0.750679,0.705858,0.779516,38.46
35,0.016665,0.764104,0.716479,0.779516,38.56
36,0.015645,0.659112,0.598131,0.779516,41.04
37,0.015605,0.650847,0.603397,0.779516,40.74
38,0.015672,0.709466,0.634722,0.779516,38.90
39,0.016149,0.666843,0.604557,0.779516,40.60
40,0.015817,0.765918,0.704848,0.779516,37.52
41,0.016422,0.634721,0.597252,0.779516,41.27
42,0.015056,0.745318,0.696869,0.779516,39.20
43,0.015672,0.782324,0.731008,0.782324,38.23
44,0.014891,0.604809,0.583055,0.782324,42.28
45,0.015294,0.784149,0.728033,0.784149,37.61
46,0.014820,0.782330,0.731426,0.784149,38.16
47,0.014897,0.692378,0.655610,0.784149,39.54
48,0.015864,0.769733,0.704365,0.784149,38.64
49,0.015321,0.782682,0.720928,0.784149,37.81
50,0.014631,0.750803,0.691772,0.784149,39.57
51,0.014950,0.797654,0.726856,0.797654,37.27
52,0.014728,0.776842,0.708295,0.797654,37.73
53,0.014697,0.765359,0.706357,0.797654,38.35
54,0.014382,0.769271,0.761612,0.797654,38.17
55,0.013623,0.780615,0.750659,0.797654,37.55
56,0.014191,0.749610,0.688473,0.797654,39.33
57,0.014368,0.735940,0.668952,0.797654,39.48
58,0.014340,0.781471,0.718656,0.797654,38.81
59,0.014580,0.787456,0.726897,0.797654,38.57
60,0.013938,0.724458,0.676424,0.797654,40.14
61,0.013553,0.772361,0.748052,0.797654,37.49
62,0.013710,0.702294,0.746786,0.797654,37.60
63,0.013846,0.759132,0.746086,0.797654,38.39
64,0.013737,0.781853,0.741558,0.797654,36.96
65,0.013509,0.776756,0.719251,0.797654,38.74
66,0.013068,0.791435,0.744028,0.797654,37.96
67,0.013489,0.792693,0.726463,0.797654,37.73
68,0.013110,0.766541,0.695687,0.797654,38.80
69,0.012812,0.690339,0.633746,0.797654,40.82
70,0.013055,0.759437,0.696265,0.797654,38.78
71,0.012949,0.781111,0.745593,0.797654,36.81
72,0.012515,0.781649,0.743747,0.797654,37.39
73,0.012961,0.779319,0.725623,0.797654,38.45
74,0.012772,0.780878,0.712144,0.797654,38.09
75,0.012501,0.778326,0.713207,0.797654,38.30
76,0.013007,0.792801,0.754228,0.797654,37.76
77,0.013048,0.729710,0.668107,0.797654,39.24
78,0.012650,0.776762,0.714787,0.797654,38.51
79,0.012296,0.780448,0.713735,0.797654,37.89
80,0.013050,0.795633,0.734035,0.797654,38.04
81,0.012645,0.773978,0.701766,0.797654,38.77
82,0.012582,0.745563,0.685345,0.797654,40.02
83,0.012678,0.784490,0.757368,0.797654,37.72
84,0.012252,0.799774,0.735212,0.799774,37.67
85,0.011873,0.779667,0.706220,0.799774,38.02
86,0.012264,0.803210,0.732640,0.803210,36.81
87,0.011938,0.802653,0.742969,0.803210,36.75
88,0.012269,0.709602,0.646828,0.803210,39.34
89,0.012683,0.799925,0.725262,0.803210,37.04
90,0.012120,0.798992,0.736084,0.803210,36.80
91,0.011921,0.790413,0.722399,0.803210,38.14
92,0.011896,0.781820,0.720474,0.803210,38.30
93,0.011408,0.784761,0.717522,0.803210,37.51
94,0.011818,0.799042,0.752898,0.803210,37.15
95,0.011568,0.755368,0.762938,0.803210,36.65
96,0.012118,0.780960,0.711363,0.803210,37.86
97,0.011704,0.764922,0.687716,0.803210,38.60
98,0.011573,0.791913,0.733174,0.803210,38.08
99,0.011567,0.792553,0.725047,0.803210,37.30
100,0.011459,0.797933,0.731512,0.803210,37.42
101,0.011299,0.778484,0.711120,0.803210,38.16
102,0.011411,0.804006,0.737215,0.804006,37.61
103,0.011286,0.799244,0.729765,0.804006,37.23
104,0.011411,0.771557,0.701853,0.804006,38.52
105,0.011389,0.780631,0.708276,0.804006,38.55
106,0.011374,0.801155,0.732823,0.804006,38.22
107,0.011224,0.797754,0.732831,0.804006,37.98
