epoch,train_loss,val_mIoU,best_iou,epoch_time_s
1,0.212216,0.012353,0.012353,51.61
2,0.096741,0.059896,0.059896,48.75
3,0.082760,0.070132,0.070132,48.53
4,0.077245,0.074344,0.074344,48.81
5,0.073263,0.079770,0.079770,48.80
6,0.070318,0.084904,0.084904,48.61
7,0.067185,0.085751,0.085751,48.61
8,0.064477,0.092820,0.092820,49.03
9,0.061513,0.144218,0.144218,48.93
10,0.059273,0.148867,0.148867,48.94
11,0.056403,0.135407,0.148867,48.62
12,0.054058,0.177675,0.177675,48.63
13,0.051938,0.203671,0.203671,49.03
14,0.050335,0.235446,0.235446,48.80
15,0.049002,0.225127,0.235446,49.15
16,0.047605,0.246181,0.246181,48.96
17,0.046753,0.260648,0.260648,48.81
18,0.045889,0.280440,0.280440,48.86
19,0.044974,0.287292,0.287292,48.98
20,0.044719,0.296153,0.296153,48.81
21,0.043999,0.312220,0.312220,48.93
22,0.043438,0.306510,0.312220,48.65
23,0.042780,0.339688,0.339688,49.04
24,0.042254,0.339527,0.339688,48.93
25,0.041811,0.344062,0.344062,48.88
26,0.041252,0.367654,0.367654,49.04
27,0.040991,0.374084,0.374084,49.16
28,0.040268,0.363130,0.374084,48.62
29,0.040221,0.390347,0.390347,49.06
30,0.039563,0.377577,0.390347,48.77
31,0.039468,0.399322,0.399322,48.75
32,0.039021,0.398413,0.399322,48.91
33,0.039001,0.412729,0.412729,48.80
34,0.038471,0.413355,0.413355,48.61
35,0.038119,0.392968,0.413355,48.84
36,0.037885,0.426529,0.426529,48.61
37,0.037598,0.429476,0.429476,48.97
38,0.037091,0.420474,0.429476,48.85
39,0.037101,0.435126,0.435126,49.22
40,0.036993,0.438039,0.438039,48.66
41,0.036556,0.404898,0.438039,49.05
42,0.036260,0.427364,0.438039,49.34
43,0.036163,0.461994,0.461994,49.23
44,0.035940,0.463008,0.463008,49.02
45,0.036111,0.466239,0.466239,48.80
46,0.035883,0.465603,0.466239,48.81
47,0.035701,0.468496,0.468496,48.67
48,0.035071,0.470097,0.470097,48.64
49,0.035115,0.464043,0.470097,48.96
50,0.035102,0.472361,0.472361,49.13
51,0.034479,0.476345,0.476345,49.00
52,0.034432,0.491324,0.491324,48.78
53,0.034235,0.486085,0.491324,48.74
54,0.033948,0.479063,0.491324,48.85
55,0.033489,0.489210,0.491324,48.70
56,0.033360,0.509782,0.509782,48.79
57,0.033176,0.503211,0.509782,48.90
58,0.032883,0.510331,0.510331,48.77
59,0.032780,0.524353,0.524353,49.16
60,0.032353,0.507477,0.524353,49.02
61,0.032351,0.501468,0.524353,48.89
62,0.031982,0.524093,0.524353,49.02
63,0.031551,0.523883,0.524353,48.94
64,0.031108,0.536002,0.536002,49.13
65,0.031195,0.533776,0.536002,49.13
66,0.030623,0.534990,0.536002,48.72
67,0.030443,0.542035,0.542035,48.78
68,0.030178,0.536690,0.542035,48.84
69,0.029606,0.560000,0.560000,48.87
70,0.029556,0.572095,0.572095,48.81
71,0.029363,0.508408,0.572095,48.87
72,0.029175,0.550180,0.572095,49.06
73,0.028778,0.578982,0.578982,48.92
74,0.028499,0.584930,0.584930,49.00
75,0.028146,0.573097,0.584930,49.00
76,0.028252,0.547468,0.584930,49.06
77,0.027798,0.600488,0.600488,48.78
78,0.027530,0.559382,0.600488,49.12
79,0.027609,0.598032,0.600488,48.63
80,0.027014,0.602220,0.602220,49.11
81,0.026861,0.591039,0.602220,48.63
82,0.026775,0.599579,0.602220,49.36
83,0.026795,0.604303,0.604303,48.86
84,0.026621,0.609325,0.609325,48.90
85,0.026621,0.589425,0.609325,48.86
86,0.026184,0.626043,0.626043,49.05
87,0.026083,0.604349,0.626043,48.80
88,0.025923,0.620623,0.626043,48.83
89,0.025680,0.559440,0.626043,48.62
90,0.025951,0.619672,0.626043,49.11
91,0.025497,0.614375,0.626043,48.86
92,0.025376,0.624064,0.626043,49.15
93,0.025286,0.609536,0.626043,48.84
94,0.025278,0.629611,0.629611,48.94
95,0.025157,0.640868,0.640868,49.14
96,0.025204,0.626078,0.640868,48.80
97,0.024946,0.630438,0.640868,48.77
98,0.024989,0.637771,0.640868,49.23
99,0.025021,0.617168,0.640868,48.92
100,0.024556,0.602113,0.640868,48.74
101,0.024386,0.634852,0.640868,49.10
102,0.024642,0.640141,0.640868,48.84
103,0.024484,0.651661,0.651661,48.80
104,0.024121,0.643691,0.651661,49.03
105,0.023843,0.643705,0.651661,48.90
106,0.024644,0.642828,0.651661,48.98
107,0.024422,0.643903,0.651661,48.54
108,0.024402,0.646465,0.651661,48.80
109,0.023941,0.652508,0.652508,48.55
110,0.023749,0.633986,0.652508,48.77
111,0.023972,0.643074,0.652508,49.07
112,0.024058,0.635225,0.652508,49.05
113,0.023519,0.649414,0.652508,48.92
114,0.023473,0.643669,0.652508,49.19
115,0.023741,0.636101,0.652508,49.01
116,0.023566,0.645520,0.652508,48.96
117,0.023564,0.638653,0.652508,49.11
118,0.023793,0.665669,0.665669,48.76
119,0.022995,0.614489,0.665669,48.74
120,0.023493,0.660330,0.665669,48.48
121,0.023492,0.629065,0.665669,49.17
122,0.023328,0.655522,0.665669,49.01
123,0.022912,0.585867,0.665669,49.10
124,0.023129,0.648094,0.665669,49.31
125,0.023040,0.654478,0.665669,49.13
126,0.023681,0.628495,0.665669,48.55
127,0.022892,0.664229,0.665669,48.55
128,0.022949,0.652713,0.665669,48.84
129,0.023415,0.659306,0.665669,49.06
130,0.023064,0.666933,0.666933,49.40
131,0.023204,0.659207,0.666933,49.09
132,0.022820,0.665726,0.666933,49.00
133,0.022738,0.643653,0.666933,48.67
134,0.022542,0.664820,0.666933,48.76
135,0.022389,0.659807,0.666933,49.23
136,0.022388,0.615546,0.666933,48.58
