epoch,train_loss,val_mIoU_seg,val_mIoU_obb,best_iou_seg,epoch_time_s
1,0.124683,0.432468,0.452043,0.432468,49.81
2,0.042671,0.716460,0.665036,0.716460,44.38
3,0.026435,0.787076,0.730076,0.787076,43.47
4,0.019691,0.749754,0.716700,0.787076,44.26
5,0.015547,0.776797,0.705399,0.787076,43.77
6,0.013152,0.797498,0.725732,0.797498,44.26
7,0.011923,0.816548,0.733283,0.816548,44.07
8,0.010768,0.834431,0.758963,0.834431,43.72
9,0.009946,0.878014,0.783095,0.878014,44.71
10,0.009412,0.869551,0.787656,0.878014,43.58
