epoch,train_loss,val_mIoU_seg,val_mIoU_obb,best_iou_seg,epoch_time_s
1,0.181077,0.026896,0.000207,0.026896,45.59
2,0.087066,0.301826,0.357441,0.301826,37.07
3,0.056966,0.502341,0.532852,0.502341,35.89
4,0.046650,0.550555,0.593101,0.550555,35.48
5,0.038652,0.524003,0.534242,0.550555,35.38
6,0.034770,0.433770,0.467848,0.550555,36.09
7,0.030837,0.497094,0.486196,0.550555,35.92
8,0.029381,0.341546,0.361234,0.550555,35.90
9,0.026997,0.536523,0.529425,0.550555,35.30
10,0.026160,0.547107,0.581189,0.550555,35.45
11,0.024746,0.645313,0.622065,0.645313,35.95
12,0.023286,0.668325,0.660351,0.668325,35.88
13,0.023955,0.594574,0.611103,0.668325,38.31
14,0.023083,0.561751,0.499960,0.668325,39.57
15,0.021954,0.639682,0.659064,0.668325,35.80
16,0.022240,0.486693,0.521526,0.668325,36.19
17,0.021992,0.606142,0.612399,0.668325,36.28
18,0.021214,0.593398,0.644180,0.668325,35.07
19,0.020705,0.260178,0.258373,0.668325,36.10
20,0.020543,0.650039,0.647547,0.668325,37.88
21,0.019437,0.664946,0.648880,0.668325,36.76
22,0.019164,0.662222,0.631844,0.668325,36.53
23,0.019801,0.597708,0.625442,0.668325,35.18
24,0.018781,0.722576,0.699842,0.722576,34.86
25,0.019358,0.684315,0.668867,0.722576,36.41
26,0.018775,0.673958,0.680023,0.722576,35.89
27,0.019362,0.377381,0.388390,0.722576,35.52
28,0.018539,0.677201,0.652178,0.722576,35.35
29,0.018440,0.599055,0.596462,0.722576,39.96
30,0.019123,0.639611,0.658280,0.722576,35.10
31,0.018822,0.680854,0.616447,0.722576,37.36
32,0.018599,0.705760,0.672643,0.722576,36.27
33,0.018012,0.678875,0.646475,0.722576,38.04
34,0.017936,0.703369,0.646319,0.722576,36.62
35,0.017073,0.694554,0.652396,0.722576,36.84
36,0.016795,0.696024,0.664993,0.722576,36.22
37,0.018486,0.693151,0.656634,0.722576,37.20
38,0.017340,0.687876,0.671109,0.722576,35.24
39,0.018024,0.706784,0.676724,0.722576,34.81
40,0.016833,0.524171,0.586267,0.722576,35.49
41,0.017726,0.697551,0.659157,0.722576,36.95
42,0.016962,0.692783,0.697481,0.722576,36.85
43,0.017469,0.655370,0.645627,0.722576,38.66
44,0.017192,0.684288,0.647910,0.722576,38.21
45,0.016612,0.557768,0.599112,0.722576,35.11
46,0.017164,0.686009,0.683724,0.722576,35.82
47,0.017195,0.687837,0.673206,0.722576,37.19
48,0.016697,0.694644,0.671421,0.722576,35.94
49,0.016400,0.701254,0.668001,0.722576,36.82
50,0.016686,0.701249,0.680013,0.722576,35.10
51,0.016809,0.660134,0.658295,0.722576,34.74
52,0.016711,0.597497,0.634551,0.722576,35.00
53,0.016690,0.714204,0.694796,0.722576,35.87
54,0.016500,0.677353,0.657851,0.722576,36.05
55,0.015820,0.660518,0.668456,0.722576,34.89
56,0.015912,0.692927,0.678483,0.722576,36.61
57,0.016003,0.632182,0.582317,0.722576,39.83
58,0.015355,0.731013,0.698571,0.731013,34.96
59,0.016326,0.662979,0.645547,0.731013,37.22
60,0.016805,0.697900,0.681767,0.731013,36.22
61,0.015709,0.686970,0.683168,0.731013,35.48
62,0.015576,0.662886,0.634542,0.731013,38.03
63,0.016060,0.627788,0.666446,0.731013,35.10
64,0.015961,0.626037,0.674672,0.731013,35.57
65,0.015875,0.695270,0.705767,0.731013,35.61
66,0.015469,0.689206,0.684882,0.731013,35.23
67,0.015991,0.659173,0.661770,0.731013,35.18
68,0.015665,0.649654,0.678886,0.731013,35.93
69,0.014796,0.655672,0.671408,0.731013,38.29
70,0.015494,0.561554,0.632068,0.731013,35.85
71,0.015402,0.694122,0.707879,0.731013,35.99
72,0.015368,0.720957,0.692715,0.731013,34.86
73,0.014921,0.679958,0.677441,0.731013,37.40
74,0.015810,0.730631,0.667354,0.731013,35.83
75,0.015006,0.586562,0.630903,0.731013,35.65
76,0.014745,0.721552,0.680365,0.731013,36.29
77,0.015238,0.706740,0.706049,0.731013,35.74
78,0.014563,0.663333,0.699669,0.731013,35.13
79,0.015234,0.717437,0.666739,0.731013,35.49
80,0.014562,0.693011,0.704101,0.731013,35.30
81,0.014217,0.711210,0.704997,0.731013,34.36
82,0.015045,0.728443,0.696713,0.731013,36.04
83,0.014502,0.736038,0.710608,0.736038,34.57
84,0.015261,0.536921,0.583060,0.736038,35.91
85,0.014732,0.682250,0.703088,0.736038,34.36
86,0.014311,0.663155,0.709060,0.736038,34.29
87,0.015149,0.645499,0.690889,0.736038,35.54
88,0.015236,0.657551,0.711719,0.736038,35.28
89,0.014364,0.649933,0.699010,0.736038,35.55
90,0.013603,0.701485,0.670868,0.736038,35.29
91,0.014187,0.699925,0.694537,0.736038,37.12
92,0.014963,0.731644,0.714561,0.736038,35.43
93,0.014873,0.696942,0.700201,0.736038,35.44
94,0.014342,0.675884,0.691730,0.736038,35.49
95,0.014345,0.684809,0.622918,0.736038,36.85
