epoch,train_loss,val_mIoU_seg,val_mIoU_obb,best_iou_seg,epoch_time_s
1,0.303663,0.081759,0.119523,0.081759,179.93
2,0.223210,0.129167,0.100903,0.129167,145.95
3,0.168090,0.383195,0.438707,0.383195,84.71
4,0.133899,0.505224,0.504311,0.505224,51.97
5,0.118199,0.593430,0.569355,0.593430,41.08
6,0.107421,0.551743,0.543574,0.593430,38.82
7,0.099200,0.650832,0.607299,0.650832,35.31
8,0.091987,0.703336,0.658872,0.703336,34.11
9,0.085764,0.594604,0.571099,0.703336,35.12
10,0.079198,0.721632,0.684166,0.721632,33.79
11,0.073906,0.714794,0.669813,0.721632,33.68
12,0.067647,0.709604,0.647349,0.721632,33.56
13,0.062174,0.752024,0.691474,0.752024,33.20
14,0.056645,0.705922,0.649347,0.752024,33.48
15,0.051455,0.747379,0.700301,0.752024,33.13
16,0.045849,0.757959,0.700634,0.757959,33.06
17,0.041483,0.745458,0.680864,0.757959,32.89
18,0.036851,0.744102,0.684278,0.757959,32.91
19,0.032891,0.773708,0.712467,0.773708,32.89
20,0.028840,0.796808,0.728348,0.796808,32.77
21,0.025596,0.782712,0.715103,0.796808,32.54
22,0.022076,0.782622,0.700851,0.796808,32.92
23,0.020007,0.766826,0.694382,0.796808,33.01
24,0.017380,0.803562,0.727984,0.803562,32.90
25,0.016018,0.816166,0.736361,0.816166,33.15
26,0.014136,0.830381,0.773929,0.830381,33.12
27,0.012785,0.841718,0.780197,0.841718,32.92
28,0.011760,0.838756,0.739717,0.841718,32.84
29,0.010908,0.843357,0.743378,0.843357,32.92
30,0.010624,0.842595,0.743904,0.843357,32.99
31,0.009878,0.855157,0.750889,0.855157,33.11
32,0.009100,0.848557,0.764606,0.855157,32.73
33,0.008689,0.832561,0.746414,0.855157,32.82
34,0.008469,0.835547,0.730158,0.855157,32.75
35,0.008153,0.860086,0.772181,0.860086,32.78
36,0.008503,0.879550,0.767282,0.879550,32.81
37,0.007327,0.857538,0.764959,0.879550,32.57
38,0.007767,0.849334,0.759217,0.879550,32.86
39,0.007592,0.853197,0.745042,0.879550,32.76
40,0.007323,0.817327,0.746425,0.879550,33.02
41,0.007243,0.901693,0.797932,0.901693,32.93
42,0.007184,0.870792,0.774764,0.901693,32.72
43,0.007205,0.871979,0.766655,0.901693,32.88
44,0.006460,0.871415,0.760491,0.901693,33.10
45,0.006964,0.847098,0.754256,0.901693,32.83
46,0.006410,0.869453,0.770812,0.901693,32.81
47,0.006427,0.885932,0.785498,0.901693,32.41
48,0.006278,0.900242,0.796540,0.901693,32.60
49,0.006068,0.868770,0.767257,0.901693,32.58
50,0.005703,0.875558,0.774547,0.901693,32.33
51,0.006437,0.882128,0.771949,0.901693,32.55
52,0.005791,0.880116,0.768553,0.901693,32.66
53,0.005560,0.903739,0.798648,0.903739,32.37
54,0.005793,0.887516,0.775006,0.903739,32.49
55,0.005577,0.902377,0.788230,0.903739,32.57
56,0.006040,0.901672,0.806759,0.903739,32.66
57,0.006062,0.870303,0.755042,0.903739,32.77
58,0.005358,0.867760,0.769702,0.903739,32.87
59,0.005387,0.858876,0.752752,0.903739,32.64
60,0.005349,0.873401,0.781872,0.903739,32.64
61,0.005087,0.912591,0.794382,0.912591,32.53
62,0.005691,0.915151,0.817650,0.915151,32.58
63,0.005301,0.913597,0.806559,0.915151,32.52
64,0.005390,0.900388,0.810247,0.915151,32.49
65,0.005450,0.910028,0.798894,0.915151,32.91
66,0.005426,0.906866,0.802046,0.915151,32.66
67,0.005339,0.913951,0.804421,0.915151,32.44
68,0.005001,0.900381,0.802663,0.915151,32.68
69,0.004847,0.896666,0.784817,0.915151,32.69
70,0.004579,0.895576,0.788383,0.915151,32.49
71,0.005104,0.911340,0.809557,0.915151,32.44
72,0.004958,0.914005,0.823149,0.915151,32.69
73,0.004581,0.911035,0.811307,0.915151,33.01
74,0.004941,0.894574,0.796507,0.915151,32.61
75,0.004881,0.901958,0.779611,0.915151,32.72
76,0.004830,0.914515,0.804702,0.915151,32.98
