epoch,train_loss,val_mIoU_seg,val_mIoU_obb,best_iou_seg,epoch_time_s
1,0.302605,0.081510,0.102158,0.081510,191.82
2,0.217770,0.151874,0.174401,0.151874,145.25
3,0.153904,0.517949,0.518193,0.517949,65.84
4,0.119968,0.600979,0.564015,0.600979,49.08
5,0.102294,0.661444,0.632443,0.661444,46.48
6,0.089407,0.662276,0.613497,0.662276,45.22
7,0.077085,0.724357,0.669852,0.724357,44.43
8,0.064582,0.712454,0.638724,0.724357,44.77
9,0.053612,0.673710,0.609672,0.724357,45.49
10,0.044315,0.682800,0.633389,0.724357,44.10
11,0.036006,0.771151,0.715684,0.771151,44.16
12,0.029556,0.785048,0.712454,0.785048,44.30
13,0.023991,0.748606,0.677829,0.785048,44.17
14,0.019662,0.801098,0.735832,0.801098,44.31
15,0.016480,0.807765,0.735487,0.807765,44.29
16,0.014177,0.811067,0.738800,0.811067,44.10
17,0.012577,0.838215,0.748954,0.838215,44.81
18,0.011459,0.841563,0.768164,0.841563,44.65
19,0.010588,0.857739,0.760587,0.857739,44.76
20,0.009582,0.870809,0.766234,0.870809,44.35
21,0.008926,0.872828,0.772848,0.872828,44.31
22,0.008519,0.874056,0.774946,0.874056,44.26
23,0.007733,0.864020,0.770489,0.874056,44.03
24,0.007515,0.877294,0.761848,0.877294,43.81
25,0.007330,0.859115,0.766737,0.877294,43.87
26,0.006621,0.902079,0.800697,0.902079,43.60
27,0.006763,0.872752,0.756912,0.902079,44.52
28,0.006502,0.878725,0.760260,0.902079,44.91
29,0.006405,0.897862,0.796776,0.902079,44.60
30,0.006142,0.896227,0.790391,0.902079,43.97
31,0.005909,0.889759,0.776620,0.902079,44.01
32,0.005919,0.867028,0.758494,0.902079,43.98
33,0.005810,0.896390,0.781426,0.902079,43.56
34,0.005952,0.889570,0.775969,0.902079,43.51
35,0.005407,0.891807,0.773506,0.902079,43.76
36,0.005519,0.895953,0.785868,0.902079,44.29
37,0.005182,0.907143,0.794921,0.907143,42.95
38,0.005465,0.907994,0.795708,0.907994,43.57
39,0.005391,0.894452,0.791962,0.907994,44.53
40,0.005102,0.902915,0.797754,0.907994,44.13
41,0.004943,0.903444,0.785761,0.907994,43.83
42,0.005007,0.907634,0.798044,0.907994,44.84
43,0.005000,0.899069,0.787382,0.907994,44.01
44,0.005010,0.904289,0.787919,0.907994,44.09
45,0.004831,0.900862,0.785326,0.907994,43.59
46,0.004677,0.899996,0.784913,0.907994,44.28
47,0.004885,0.901317,0.784259,0.907994,43.70
48,0.004614,0.908298,0.791387,0.908298,43.52
49,0.004534,0.903960,0.788798,0.908298,43.91
50,0.004747,0.909779,0.793237,0.909779,43.92
