epoch,train_loss,val_mIoU_seg,val_mIoU_obb,best_iou_seg,epoch_time_s
1,0.303131,0.080493,0.099734,0.080493,190.79
2,0.223241,0.123730,0.070831,0.123730,153.35
3,0.168514,0.403974,0.443708,0.403974,91.03
4,0.134105,0.566302,0.548717,0.566302,58.83
5,0.117467,0.495849,0.507419,0.566302,55.02
6,0.107437,0.676317,0.631537,0.676317,46.28
7,0.099382,0.683305,0.631181,0.683305,46.34
8,0.091984,0.634771,0.603280,0.683305,45.75
9,0.085659,0.686444,0.642801,0.686444,46.28
10,0.079175,0.723168,0.676322,0.723168,44.52
11,0.073414,0.701825,0.666146,0.723168,44.42
12,0.067477,0.732752,0.694115,0.732752,44.95
13,0.061515,0.696465,0.651213,0.732752,44.39
14,0.056118,0.749844,0.679911,0.749844,44.80
15,0.050724,0.750056,0.706408,0.750056,44.77
16,0.045882,0.741134,0.682662,0.750056,44.89
17,0.041201,0.738389,0.668655,0.750056,44.52
18,0.036176,0.688868,0.670825,0.750056,45.63
19,0.032323,0.729967,0.702233,0.750056,45.11
20,0.028741,0.796294,0.743444,0.796294,44.67
21,0.025057,0.802378,0.729322,0.802378,44.31
22,0.022320,0.761609,0.699307,0.802378,44.01
23,0.019726,0.783516,0.732583,0.802378,44.58
24,0.017383,0.795146,0.714508,0.802378,43.76
25,0.015184,0.819535,0.745597,0.819535,44.11
26,0.013913,0.836701,0.742941,0.836701,43.37
27,0.012643,0.827926,0.748191,0.836701,44.67
28,0.011576,0.817133,0.737995,0.836701,44.92
29,0.010545,0.805118,0.717482,0.836701,44.85
30,0.010293,0.812531,0.730899,0.836701,44.12
31,0.009323,0.828682,0.741210,0.836701,44.10
32,0.009049,0.838800,0.758615,0.838800,44.30
33,0.008772,0.810754,0.756053,0.838800,44.47
34,0.008612,0.864960,0.773511,0.864960,44.15
35,0.008064,0.871032,0.767115,0.871032,43.81
36,0.007828,0.859801,0.761090,0.871032,44.36
37,0.007448,0.887899,0.775223,0.887899,43.47
38,0.007665,0.836943,0.750965,0.887899,43.89
39,0.007535,0.870852,0.765920,0.887899,44.35
40,0.007383,0.850767,0.733368,0.887899,45.25
41,0.006752,0.849276,0.761369,0.887899,44.19
42,0.007144,0.854426,0.762918,0.887899,44.38
43,0.006925,0.864918,0.767103,0.887899,44.37
44,0.006826,0.887890,0.777471,0.887899,44.46
45,0.006590,0.886698,0.772080,0.887899,43.18
46,0.006270,0.894836,0.786703,0.894836,44.18
47,0.006580,0.892996,0.780226,0.894836,44.32
48,0.006058,0.861333,0.768411,0.894836,43.33
49,0.006031,0.884727,0.781522,0.894836,43.85
50,0.006065,0.873651,0.781056,0.894836,44.61
51,0.005969,0.901461,0.788839,0.901461,44.44
52,0.005892,0.874530,0.770364,0.901461,44.95
53,0.005759,0.904154,0.817787,0.904154,43.79
54,0.005709,0.845128,0.752422,0.904154,44.71
55,0.006040,0.911780,0.803388,0.911780,44.14
56,0.005713,0.875800,0.762992,0.911780,44.41
57,0.005602,0.862363,0.767584,0.911780,43.38
58,0.005427,0.897512,0.791699,0.911780,43.99
59,0.005199,0.908869,0.794962,0.911780,44.12
60,0.005700,0.901447,0.806552,0.911780,44.50
61,0.005280,0.886166,0.773170,0.911780,44.54
62,0.005732,0.913988,0.809006,0.913988,43.25
63,0.005063,0.918033,0.812869,0.918033,43.71
64,0.005050,0.914168,0.810135,0.918033,43.71
65,0.005134,0.911203,0.802282,0.918033,44.15
66,0.005297,0.906331,0.793198,0.918033,44.04
67,0.005159,0.902597,0.803348,0.918033,43.51
68,0.004769,0.913887,0.816702,0.918033,44.27
69,0.004971,0.911912,0.794826,0.918033,43.99
70,0.005049,0.912350,0.810151,0.918033,44.26
71,0.004922,0.903472,0.804793,0.918033,44.30
72,0.004825,0.913925,0.800848,0.918033,44.01
73,0.004757,0.916121,0.814595,0.918033,43.85
74,0.004883,0.921654,0.816784,0.921654,43.80
75,0.004781,0.890628,0.786532,0.921654,43.99
76,0.004766,0.912089,0.804950,0.921654,44.33
77,0.004636,0.906391,0.791219,0.921654,43.83
78,0.004494,0.918076,0.800187,0.921654,44.72
79,0.004660,0.886073,0.788653,0.921654,44.06
80,0.004549,0.906240,0.806559,0.921654,43.90
81,0.004470,0.911098,0.802346,0.921654,44.43
82,0.004528,0.921604,0.808262,0.921654,43.56
83,0.004435,0.914521,0.803191,0.921654,44.39
84,0.004432,0.919180,0.815045,0.921654,44.17
85,0.004283,0.919958,0.809562,0.921654,44.35
86,0.004561,0.921760,0.816493,0.921760,44.68
87,0.004468,0.927957,0.818351,0.927957,44.07
88,0.004280,0.906313,0.815135,0.927957,44.41
89,0.004207,0.920386,0.809001,0.927957,44.25
90,0.004150,0.929314,0.822588,0.929314,44.19
91,0.004248,0.927179,0.819926,0.929314,43.91
92,0.004193,0.922112,0.818901,0.929314,44.30
93,0.004328,0.915658,0.808962,0.929314,44.13
94,0.003915,0.926850,0.821813,0.929314,44.09
95,0.003909,0.921401,0.813233,0.929314,43.51
96,0.004055,0.928637,0.819040,0.929314,45.16
97,0.004225,0.922487,0.810742,0.929314,44.50
98,0.003955,0.920852,0.809484,0.929314,44.50
99,0.003992,0.914915,0.806025,0.929314,43.66
100,0.004094,0.927371,0.815346,0.929314,44.61
101,0.004170,0.921835,0.810369,0.929314,43.69
102,0.004075,0.929812,0.823134,0.929812,44.19
103,0.004063,0.920551,0.819958,0.929812,43.10
104,0.003909,0.928521,0.823178,0.929812,43.81
105,0.003758,0.919144,0.817742,0.929812,43.28
106,0.003842,0.921388,0.809915,0.929812,43.44
107,0.003918,0.929271,0.818395,0.929812,44.13
108,0.003768,0.930655,0.819509,0.930655,43.97
109,0.003838,0.929165,0.816869,0.930655,43.82
110,0.003782,0.929281,0.817020,0.930655,44.98
111,0.003837,0.925332,0.815909,0.930655,43.58
112,0.003770,0.930490,0.826434,0.930655,43.37
113,0.003588,0.935607,0.826777,0.935607,43.89
114,0.003889,0.933745,0.829742,0.935607,44.24
115,0.003739,0.924653,0.819953,0.935607,44.12
116,0.003701,0.933898,0.828116,0.935607,43.99
117,0.003595,0.928478,0.820414,0.935607,43.61
118,0.003599,0.931204,0.830053,0.935607,43.84
119,0.003587,0.933591,0.826616,0.935607,43.78
120,0.003580,0.926236,0.820239,0.935607,44.54
121,0.003688,0.936136,0.827571,0.936136,44.20
122,0.003443,0.934860,0.826867,0.936136,42.77
123,0.003583,0.934627,0.825623,0.936136,44.29
124,0.003663,0.933418,0.822045,0.936136,44.93
125,0.003791,0.931267,0.823231,0.936136,43.65
126,0.003654,0.932036,0.823363,0.936136,44.60
127,0.003506,0.937835,0.825515,0.937835,43.70
128,0.003563,0.931542,0.823837,0.937835,43.82
129,0.003409,0.933358,0.820420,0.937835,44.30
130,0.003566,0.928912,0.822356,0.937835,44.27
131,0.003533,0.931209,0.822485,0.937835,44.39
132,0.003321,0.930650,0.825427,0.937835,43.69
133,0.003393,0.932717,0.827949,0.937835,43.53
134,0.003459,0.935476,0.828296,0.937835,43.41
135,0.003370,0.933781,0.823835,0.937835,43.88
136,0.003495,0.934317,0.825043,0.937835,43.50
137,0.003528,0.930239,0.821528,0.937835,44.31
138,0.003519,0.935451,0.827292,0.937835,44.13
139,0.003461,0.931544,0.826002,0.937835,44.46
140,0.003409,0.931083,0.824964,0.937835,43.89
141,0.003524,0.935300,0.825952,0.937835,43.98
142,0.003557,0.928944,0.823181,0.937835,43.69
143,0.003334,0.929922,0.823948,0.937835,43.41
144,0.003523,0.933685,0.824551,0.937835,43.93
145,0.003442,0.934153,0.826475,0.937835,44.11
146,0.003497,0.930155,0.823454,0.937835,44.28
147,0.003246,0.931126,0.823983,0.937835,44.22
148,0.003477,0.935250,0.826370,0.937835,43.97
149,0.003453,0.932905,0.823886,0.937835,44.08
150,0.003570,0.933841,0.825425,0.937835,44.06
