epoch,train_loss,val_mIoU,best_iou,epoch_time_s
1,0.240800,0.024742,0.024742,21.25
2,0.104353,0.026101,0.026101,17.92
3,0.088905,0.075326,0.075326,17.80
4,0.083086,0.098630,0.098630,17.64
5,0.077715,0.107794,0.107794,17.59
6,0.074662,0.111883,0.111883,17.93
7,0.071001,0.118556,0.118556,18.09
8,0.068157,0.129231,0.129231,17.88
9,0.065596,0.150745,0.150745,17.94
10,0.063649,0.164986,0.164986,17.99
11,0.061610,0.172630,0.172630,17.84
12,0.059144,0.207834,0.207834,17.83
13,0.056467,0.252867,0.252867,17.80
14,0.055153,0.293738,0.293738,17.79
15,0.053538,0.331901,0.331901,17.99
16,0.051392,0.308073,0.331901,17.77
17,0.049392,0.340863,0.340863,18.04
18,0.047494,0.322532,0.340863,18.00
19,0.046659,0.342396,0.342396,18.00
20,0.044999,0.321067,0.342396,17.98
21,0.042969,0.313281,0.342396,18.08
22,0.042358,0.398388,0.398388,17.67
23,0.040162,0.376937,0.398388,17.76
24,0.038874,0.385269,0.398388,18.10
25,0.037982,0.459271,0.459271,17.64
26,0.037032,0.453038,0.459271,17.66
27,0.035692,0.459248,0.459271,17.93
28,0.035286,0.504548,0.504548,17.60
29,0.034245,0.468342,0.504548,17.39
30,0.032937,0.511934,0.511934,17.74
31,0.033692,0.503215,0.511934,18.03
32,0.032407,0.539630,0.539630,17.77
33,0.032004,0.541921,0.541921,18.11
34,0.031505,0.541148,0.541921,17.75
35,0.030873,0.555889,0.555889,17.72
36,0.030343,0.493587,0.555889,18.04
37,0.029999,0.541253,0.555889,17.83
38,0.029251,0.550034,0.555889,17.95
39,0.029656,0.524814,0.555889,17.78
40,0.028744,0.592865,0.592865,17.85
41,0.028733,0.561919,0.592865,17.92
42,0.028646,0.553991,0.592865,17.96
43,0.027727,0.510097,0.592865,18.03
44,0.028415,0.589499,0.592865,17.55
45,0.027960,0.210298,0.592865,17.87
46,0.027722,0.622348,0.622348,18.22
47,0.027211,0.604626,0.622348,17.83
48,0.026781,0.584421,0.622348,18.04
49,0.026298,0.573436,0.622348,17.76
50,0.026244,0.577826,0.622348,18.04
51,0.026302,0.579894,0.622348,17.69
52,0.025424,0.661762,0.661762,17.30
53,0.025636,0.590689,0.661762,17.82
54,0.025244,0.667700,0.667700,17.82
55,0.026352,0.390124,0.667700,17.65
56,0.025581,0.591140,0.667700,17.90
57,0.025276,0.564220,0.667700,18.19
58,0.024681,0.604318,0.667700,18.07
59,0.024482,0.585876,0.667700,18.03
60,0.024840,0.643319,0.667700,18.04
61,0.024136,0.660508,0.667700,17.84
62,0.024332,0.519209,0.667700,18.19
63,0.023855,0.644404,0.667700,17.88
64,0.024054,0.307196,0.667700,17.74
65,0.024079,0.670467,0.670467,18.26
66,0.023398,0.653453,0.670467,17.81
67,0.023816,0.629887,0.670467,17.54
68,0.023303,0.617212,0.670467,18.12
69,0.022971,0.660127,0.670467,17.94
70,0.023493,0.648352,0.670467,18.18
71,0.023206,0.581920,0.670467,18.40
72,0.023372,0.564635,0.670467,17.78
73,0.023882,0.613244,0.670467,17.93
74,0.024052,0.659589,0.670467,17.68
75,0.022962,0.645780,0.670467,18.06
76,0.022586,0.649136,0.670467,18.12
77,0.022572,0.659294,0.670467,17.80
78,0.022640,0.632672,0.670467,17.90
79,0.022468,0.614062,0.670467,17.99
80,0.022043,0.588713,0.670467,17.81
81,0.022137,0.646596,0.670467,17.98
82,0.021698,0.584769,0.670467,17.99
83,0.021679,0.642066,0.670467,18.06
84,0.021818,0.668877,0.670467,17.95
85,0.021764,0.663688,0.670467,17.80
86,0.021187,0.670345,0.670467,18.05
87,0.021620,0.688065,0.688065,18.21
88,0.021518,0.664707,0.688065,17.47
89,0.021565,0.664270,0.688065,18.11
90,0.021317,0.611850,0.688065,18.15
91,0.021310,0.672658,0.688065,17.82
92,0.021454,0.666252,0.688065,18.17
93,0.020925,0.709819,0.709819,17.93
94,0.021156,0.668868,0.709819,17.88
95,0.021816,0.628215,0.709819,17.73
96,0.020626,0.647067,0.709819,18.03
97,0.021144,0.631733,0.709819,17.67
98,0.021740,0.672255,0.709819,17.96
99,0.021221,0.660211,0.709819,17.82
100,0.020657,0.672575,0.709819,18.21
101,0.020630,0.673727,0.709819,17.70
102,0.020830,0.516847,0.709819,17.74
103,0.020428,0.686351,0.709819,17.70
104,0.020139,0.668519,0.709819,18.26
105,0.020777,0.696456,0.709819,17.78
106,0.020995,0.676395,0.709819,18.21
107,0.020771,0.650956,0.709819,17.64
108,0.020336,0.713718,0.713718,17.95
