epoch,train_loss,val_mIoU_seg,val_mIoU_obb,best_iou_seg,epoch_time_s
1,0.149898,0.050330,0.021085,0.050330,51.14
2,0.082871,0.174136,0.103705,0.174136,47.10
3,0.063171,0.341684,0.504766,0.341684,49.38
4,0.047170,0.590072,0.617663,0.590072,42.94
5,0.033031,0.583554,0.615361,0.590072,43.78
6,0.027166,0.645368,0.650824,0.645368,41.58
7,0.024998,0.690240,0.686899,0.690240,39.61
8,0.024611,0.385235,0.428769,0.690240,44.72
9,0.021980,0.676512,0.669313,0.690240,39.78
10,0.022113,0.693989,0.668524,0.693989,38.61
11,0.021562,0.713687,0.680882,0.713687,37.28
12,0.020686,0.670518,0.619140,0.713687,39.53
13,0.019705,0.650148,0.604572,0.713687,40.10
14,0.020977,0.671753,0.683840,0.713687,37.92
15,0.019788,0.704487,0.652477,0.713687,38.89
16,0.020127,0.714142,0.704766,0.714142,37.48
17,0.018627,0.748697,0.712981,0.748697,37.19
18,0.019518,0.643853,0.612370,0.748697,41.33
19,0.018616,0.726188,0.692007,0.748697,39.24
20,0.018325,0.766370,0.724414,0.766370,37.41
21,0.018344,0.712737,0.656738,0.766370,38.66
22,0.017542,0.630233,0.612287,0.766370,41.08
23,0.017665,0.720422,0.706484,0.766370,39.15
24,0.017716,0.755144,0.725266,0.766370,37.85
25,0.016866,0.650579,0.598732,0.766370,40.21
26,0.016926,0.730802,0.669780,0.766370,38.62
27,0.016844,0.762161,0.724587,0.766370,37.64
28,0.017681,0.639014,0.589360,0.766370,40.16
29,0.016775,0.717862,0.667811,0.766370,39.58
30,0.016648,0.688729,0.664681,0.766370,40.01
31,0.016701,0.748829,0.693781,0.766370,37.74
32,0.015832,0.588526,0.549077,0.766370,42.45
33,0.016271,0.775107,0.739099,0.775107,36.64
34,0.016939,0.772848,0.717077,0.775107,37.16
35,0.016580,0.782942,0.728852,0.782942,37.84
36,0.015654,0.767685,0.703700,0.782942,37.71
37,0.015713,0.692435,0.638860,0.782942,39.55
38,0.015865,0.679900,0.610854,0.782942,39.62
39,0.016023,0.744766,0.679304,0.782942,38.46
40,0.016104,0.716916,0.653770,0.782942,39.65
41,0.016346,0.608452,0.570394,0.782942,41.53
42,0.015126,0.737075,0.685859,0.782942,38.59
43,0.015501,0.724263,0.666407,0.782942,39.47
44,0.015064,0.550553,0.556293,0.782942,42.11
45,0.015526,0.758180,0.744890,0.782942,37.36
46,0.015169,0.766065,0.755545,0.782942,37.37
47,0.014756,0.709079,0.661022,0.782942,38.16
48,0.016319,0.794660,0.733230,0.794660,37.19
49,0.015662,0.784758,0.750982,0.794660,37.15
50,0.014736,0.751817,0.694689,0.794660,38.80
51,0.014678,0.758493,0.680886,0.794660,38.16
52,0.014698,0.757852,0.694844,0.794660,37.56
53,0.014553,0.701377,0.632732,0.794660,39.78
54,0.014220,0.780816,0.757106,0.794660,38.09
55,0.013771,0.703744,0.719709,0.794660,37.35
56,0.014170,0.737502,0.671332,0.794660,39.23
57,0.014479,0.788510,0.733051,0.794660,37.38
58,0.014018,0.649296,0.611208,0.794660,41.85
59,0.015050,0.708973,0.643263,0.794660,39.85
60,0.014066,0.712081,0.656327,0.794660,40.67
61,0.013707,0.762880,0.739628,0.794660,37.24
62,0.013560,0.730722,0.774104,0.794660,37.42
63,0.014075,0.795717,0.734150,0.795717,37.88
64,0.013731,0.744273,0.676661,0.795717,37.83
65,0.013434,0.399518,0.359053,0.795717,49.07
66,0.013193,0.748627,0.736027,0.795717,37.04
67,0.013549,0.793935,0.722853,0.795717,37.64
68,0.013018,0.712966,0.635507,0.795717,39.72
69,0.012889,0.697459,0.625814,0.795717,39.60
70,0.013009,0.775289,0.743746,0.795717,38.01
71,0.012775,0.772714,0.730716,0.795717,37.16
72,0.012455,0.753026,0.767663,0.795717,37.27
73,0.012854,0.777705,0.725016,0.795717,37.79
74,0.012611,0.769840,0.694535,0.795717,38.17
75,0.012450,0.787830,0.719759,0.795717,38.07
76,0.013002,0.704294,0.716325,0.795717,37.23
77,0.012948,0.764641,0.694447,0.795717,38.52
78,0.012828,0.783859,0.715596,0.795717,38.02
79,0.012425,0.797010,0.719764,0.797010,38.00
80,0.012843,0.789245,0.761725,0.797010,37.53
81,0.012496,0.766750,0.686216,0.797010,39.10
82,0.012574,0.777200,0.711197,0.797010,38.87
83,0.012687,0.793864,0.755046,0.797010,37.68
84,0.012138,0.775019,0.706738,0.797010,38.30
85,0.012040,0.636645,0.590168,0.797010,39.92
86,0.012115,0.779125,0.754511,0.797010,37.12
87,0.012178,0.804209,0.755362,0.804209,36.52
88,0.012526,0.571134,0.535360,0.804209,42.69
89,0.012421,0.805360,0.729675,0.805360,36.94
90,0.012429,0.672426,0.617913,0.805360,40.47
91,0.012046,0.640196,0.630879,0.805360,41.88
92,0.012300,0.796463,0.726888,0.805360,37.90
93,0.011662,0.802278,0.741651,0.805360,37.72
94,0.012435,0.598654,0.573746,0.805360,42.54
95,0.011597,0.797853,0.755946,0.805360,37.83
96,0.012270,0.807659,0.743348,0.807659,37.26
97,0.011780,0.690347,0.660453,0.807659,40.26
98,0.011902,0.786759,0.740515,0.807659,37.91
99,0.011798,0.810467,0.749475,0.810467,38.15
100,0.011584,0.806421,0.745567,0.810467,37.42
101,0.011712,0.783227,0.711160,0.810467,38.59
102,0.011575,0.806161,0.756498,0.810467,37.41
103,0.011840,0.773303,0.715156,0.810467,38.79
104,0.011687,0.751254,0.683614,0.810467,39.12
105,0.011639,0.787566,0.779182,0.810467,38.22
106,0.011730,0.792361,0.731383,0.810467,38.67
107,0.011622,0.689557,0.615623,0.810467,40.55
108,0.011073,0.790631,0.714299,0.810467,38.27
109,0.011731,0.737826,0.669789,0.810467,39.09
110,0.011666,0.801435,0.772210,0.810467,36.83
111,0.011101,0.776351,0.769303,0.810467,36.98
112,0.011724,0.759819,0.676868,0.810467,39.00
113,0.011379,0.821378,0.753605,0.821378,36.77
114,0.011104,0.757911,0.692935,0.821378,38.78
115,0.011528,0.823606,0.757578,0.823606,36.81
116,0.011137,0.651971,0.616942,0.823606,42.10
117,0.011404,0.753674,0.682523,0.823606,38.83
118,0.011185,0.813804,0.734199,0.823606,37.50
119,0.011032,0.820774,0.745983,0.823606,37.36
120,0.011441,0.709033,0.637626,0.823606,39.39
121,0.010874,0.769006,0.693732,0.823606,38.73
122,0.012100,0.746873,0.675840,0.823606,39.31
123,0.011076,0.717601,0.634435,0.823606,39.22
124,0.011167,0.807837,0.768514,0.823606,37.11
125,0.011404,0.790151,0.723661,0.823606,38.06
126,0.010889,0.788000,0.716270,0.823606,38.79
127,0.010647,0.731828,0.670411,0.823606,39.35
