epoch,train_loss,val_mIoU_seg,val_mIoU_obb,best_iou_seg,epoch_time_s
1,0.239265,0.068161,0.004317,0.068161,103.65
2,0.174904,0.057668,0.003707,0.068161,70.24
3,0.146185,0.059857,0.007176,0.068161,59.37
4,0.129424,0.044766,0.003952,0.068161,49.97
5,0.117408,0.030638,0.002659,0.068161,46.56
6,0.108334,0.034164,0.003969,0.068161,45.00
7,0.100918,0.041480,0.006573,0.068161,45.54
8,0.094870,0.087916,0.028978,0.087916,50.68
9,0.088598,0.131451,0.064608,0.131451,49.70
10,0.082848,0.163755,0.114876,0.163755,52.34
11,0.078274,0.251985,0.326223,0.251985,52.95
12,0.073408,0.282682,0.350912,0.282682,49.71
13,0.069161,0.316388,0.436229,0.316388,49.89
14,0.065695,0.339175,0.444004,0.339175,49.69
15,0.062129,0.375591,0.472103,0.375591,49.04
16,0.059288,0.416703,0.495997,0.416703,46.67
17,0.055233,0.453943,0.551253,0.453943,47.38
18,0.051522,0.446532,0.558153,0.453943,50.83
