epoch,train_loss,val_mIoU,best_iou,epoch_time_s
132,0.090051,0.629120,0.695176,30.51
133,0.091414,0.637729,0.695176,30.65
134,0.091221,0.669901,0.695176,29.10
135,0.089112,0.559467,0.695176,29.02
136,0.095303,0.623219,0.695176,29.24
137,0.091908,0.150276,0.695176,37.63
138,0.090908,0.592386,0.695176,33.00
139,0.091914,0.501533,0.695176,29.29
140,0.092630,0.537245,0.695176,34.54
141,0.089475,0.654946,0.695176,29.69
142,0.090116,0.594974,0.695176,31.30
143,0.092192,0.646320,0.695176,29.35
144,0.089490,0.479119,0.695176,29.10
145,0.087488,0.604792,0.695176,31.34
146,0.085140,0.515507,0.695176,34.95
147,0.089754,0.647512,0.695176,30.86
148,0.091002,0.246843,0.695176,38.93
149,0.089508,0.618197,0.695176,32.05
150,0.088430,0.276808,0.695176,29.38
151,0.088365,0.620725,0.695176,31.19
152,0.088903,0.621941,0.695176,30.56
153,0.090605,0.621163,0.695176,30.42
154,0.089443,0.643565,0.695176,30.21
155,0.087699,0.632307,0.695176,29.69
156,0.089963,0.672004,0.695176,30.47
157,0.087664,0.664439,0.695176,29.51
158,0.087682,0.642196,0.695176,30.45
159,0.090370,0.256154,0.695176,38.45
160,0.086662,0.365389,0.695176,27.92
161,0.086398,0.476305,0.695176,32.83
162,0.087267,0.652274,0.695176,30.70
163,0.087119,0.456787,0.695176,29.68
164,0.089823,0.651487,0.695176,29.83
165,0.087775,0.614374,0.695176,29.90
166,0.088422,0.156345,0.695176,38.48
167,0.087612,0.560995,0.695176,34.26
168,0.088153,0.621853,0.695176,31.50
169,0.086274,0.608458,0.695176,31.59
170,0.087006,0.675372,0.695176,29.41
171,0.086801,0.643072,0.695176,30.76
172,0.090411,0.662752,0.695176,29.39
173,0.087399,0.570727,0.695176,29.77
174,0.088670,0.574466,0.695176,33.20
175,0.088269,0.442262,0.695176,29.42
176,0.086532,0.600376,0.695176,32.79
177,0.086762,0.261980,0.695176,39.96
178,0.086904,0.619847,0.695176,30.10
179,0.086549,0.465253,0.695176,30.73
180,0.084030,0.548418,0.695176,33.74
181,0.089773,0.658796,0.695176,28.66
182,0.087900,0.276312,0.695176,38.78
183,0.087939,0.639357,0.695176,31.25
184,0.086207,0.651452,0.695176,29.04
185,0.087184,0.635276,0.695176,31.01
186,0.088265,0.244399,0.695176,29.74
187,0.087286,0.636553,0.695176,30.22
188,0.083874,0.627141,0.695176,31.97
189,0.085535,0.333788,0.695176,39.73
190,0.087323,0.565691,0.695176,32.34
191,0.084276,0.261281,0.695176,29.88
192,0.083640,0.604026,0.695176,31.30
193,0.087160,0.661658,0.695176,30.44
194,0.086725,0.586393,0.695176,31.77
195,0.084800,0.546954,0.695176,29.70
196,0.083652,0.625392,0.695176,29.97
197,0.084980,0.154223,0.695176,38.90
198,0.084027,0.638154,0.695176,29.08
199,0.086753,0.629124,0.695176,30.67
200,0.083095,0.646249,0.695176,29.89
201,0.086702,0.609370,0.695176,30.97
202,0.084788,0.650936,0.695176,29.49
203,0.086315,0.603438,0.695176,27.81
204,0.086320,0.576727,0.695176,32.33
205,0.086324,0.511375,0.695176,34.87
206,0.084416,0.677612,0.695176,28.92
207,0.090409,0.323606,0.695176,32.04
208,0.086597,0.645006,0.695176,31.10
209,0.082882,0.462680,0.695176,33.76
210,0.085653,0.470832,0.695176,32.11
211,0.085380,0.571931,0.695176,30.53
212,0.084280,0.634209,0.695176,29.32
213,0.085436,0.582243,0.695176,34.12
214,0.086085,0.626275,0.695176,29.44
215,0.083224,0.648769,0.695176,30.50
216,0.086031,0.644032,0.695176,30.35
217,0.087974,0.662916,0.695176,29.13
218,0.085476,0.547335,0.695176,32.53
219,0.084713,0.359076,0.695176,35.29
220,0.085107,0.654379,0.695176,29.36
221,0.083729,0.678447,0.695176,29.35
222,0.085406,0.195324,0.695176,38.53
223,0.083029,0.666927,0.695176,28.89
224,0.084422,0.661036,0.695176,28.71
225,0.084151,0.672664,0.695176,29.51
226,0.084676,0.490009,0.695176,34.69
227,0.087874,0.081719,0.695176,28.57
228,0.089669,0.431417,0.695176,37.26
229,0.084637,0.505695,0.695176,36.11
230,0.082736,0.642366,0.695176,30.02
231,0.085098,0.666239,0.695176,31.51
232,0.081164,0.524880,0.695176,34.37
233,0.084202,0.624485,0.695176,30.14
234,0.082961,0.606296,0.695176,34.20
235,0.084723,0.611855,0.695176,33.14
236,0.082263,0.660200,0.695176,29.54
237,0.083997,0.594151,0.695176,29.37
238,0.086650,0.630618,0.695176,31.17
239,0.085187,0.651450,0.695176,28.55
240,0.082560,0.514216,0.695176,36.75
241,0.083417,0.563939,0.695176,29.58
242,0.089275,0.635333,0.695176,29.54
243,0.083362,0.613095,0.695176,32.10
244,0.083434,0.646413,0.695176,28.91
245,0.083736,0.602954,0.695176,31.33
246,0.082526,0.429138,0.695176,38.55
247,0.080185,0.618336,0.695176,32.97
248,0.081446,0.416350,0.695176,38.75
249,0.082529,0.664365,0.695176,28.96
250,0.081498,0.674736,0.695176,29.19
251,0.083102,0.539953,0.695176,35.45
252,0.082742,0.676959,0.695176,28.49
253,0.081078,0.638872,0.695176,31.15
254,0.084313,0.445048,0.695176,33.65
255,0.083651,0.684336,0.695176,28.90
256,0.082920,0.646180,0.695176,29.94
257,0.087168,0.220045,0.695176,28.82
258,0.083124,0.352764,0.695176,38.52
259,0.082070,0.338205,0.695176,37.45
260,0.081942,0.631686,0.695176,30.23
261,0.083094,0.649382,0.695176,31.49
262,0.083501,0.507234,0.695176,29.93
263,0.081732,0.509769,0.695176,30.07
264,0.085230,0.552900,0.695176,29.84
265,0.083735,0.612851,0.695176,31.35
