epoch,train_loss,val_mIoU_seg,val_mIoU_obb,best_iou_seg,epoch_time_s
1,0.236602,0.041352,0.000322,0.041352,49.02
2,0.130053,0.124153,0.082900,0.124153,47.90
3,0.099002,0.195281,0.104393,0.195281,46.18
4,0.082140,0.221785,0.174109,0.221785,41.58
5,0.070470,0.306150,0.305570,0.306150,45.24
6,0.058923,0.321310,0.282241,0.321310,40.03
7,0.045042,0.508000,0.522270,0.508000,38.02
8,0.036662,0.529133,0.503038,0.529133,34.12
9,0.032243,0.455953,0.433997,0.529133,40.16
10,0.029631,0.502782,0.468085,0.529133,34.28
11,0.027233,0.547057,0.525251,0.547057,34.71
12,0.026383,0.546400,0.514821,0.547057,36.12
13,0.025211,0.589666,0.580953,0.589666,36.73
14,0.023796,0.632634,0.633394,0.632634,34.03
15,0.024976,0.627959,0.632134,0.632634,33.78
16,0.023870,0.628718,0.632494,0.632634,35.34
17,0.022762,0.664905,0.669452,0.664905,34.71
18,0.023157,0.643077,0.593616,0.664905,34.25
19,0.021575,0.640571,0.627053,0.664905,36.13
20,0.021660,0.552627,0.492135,0.664905,38.88
21,0.021711,0.638383,0.617543,0.664905,36.65
22,0.021569,0.658597,0.662325,0.664905,35.37
23,0.020101,0.610748,0.591952,0.664905,36.79
24,0.020235,0.710434,0.675684,0.710434,34.09
25,0.020282,0.702879,0.641680,0.710434,33.86
26,0.020348,0.679503,0.662986,0.710434,34.44
27,0.019675,0.683943,0.666495,0.710434,32.49
28,0.019854,0.663728,0.651755,0.710434,32.68
29,0.019190,0.698776,0.691951,0.710434,33.10
30,0.019759,0.604391,0.632605,0.710434,38.10
31,0.019234,0.650048,0.632572,0.710434,33.19
32,0.018434,0.659136,0.646354,0.710434,32.61
33,0.019504,0.689603,0.642808,0.710434,35.23
34,0.019098,0.694595,0.685597,0.710434,33.01
35,0.018271,0.713351,0.684661,0.713351,33.23
36,0.018698,0.714737,0.659427,0.714737,32.96
37,0.018554,0.698051,0.682253,0.714737,31.94
38,0.018086,0.675883,0.673696,0.714737,32.48
